Date,Close,High,Low,Open,Volume,Date_num,H-L,O-C,SMA_7,SMA_17,SMA_30,SD_7,SD_30
2024-08-24,64178.9921875,64513.7890625,63619.91796875,64103.87109375,21430585163,739122,893.87109375,-75.12109375,60974.380580357145,60218.27872242647,61198.50182291667,2332.3186977269866,3813.0186796736266
2024-08-25,64333.54296875,64996.421875,63833.51953125,64176.3671875,18827683555,739123,1162.90234375,-157.17578125,61810.03459821428,60372.59673713235,61079.21783854167,2339.224978282625,3648.164196093026
2024-08-26,62880.66015625,64489.70703125,62849.55859375,64342.2265625,27682040631,739124,1640.1484375,1461.56640625,62293.92131696428,60490.27596507353,60914.7953125,2120.2399966956923,3439.375258472605
2024-08-27,59504.1328125,63210.796875,58116.75,62879.70703125,39103882198,739125,5094.046875,3375.57421875,62364.11272321428,60405.47127757353,60623.07083333333,1998.1297375769109,3154.6096548070263
2024-08-28,59027.625,60236.44921875,57890.67578125,59507.92578125,40289564698,739126,2345.7734375,480.30078125,62057.31752232143,60423.597196691175,60363.327864583334,2345.73684412548,2940.301938856346
2024-08-29,59388.1796875,61184.08203125,58786.2265625,59027.46875,32224990582,739127,2397.85546875,-360.7109375,61915.35546875,60425.57743566176,60136.23333333333,2489.683229744994,2729.412258654244
2024-08-30,59119.4765625,59896.88671875,57768.53125,59388.6015625,32292756405,739128,2128.35546875,269.125,61204.658482142855,60337.92509191176,59952.907552083336,2474.011651745928,2599.530147787098
2024-08-31,58969.8984375,59432.59375,58768.78515625,59117.48046875,12403470760,739129,663.80859375,147.58203125,60460.502232142855,60351.60914522059,59739.9875,2198.31426754147,2395.151651827206
2024-09-01,57325.48828125,59062.0703125,57217.82421875,58969.80078125,24592449997,739130,1844.24609375,1644.3125,59459.3515625,60337.80859375,59603.668229166666,1673.6817197847106,2412.840795649979
2024-09-02,59112.48046875,59403.0703125,57136.02734375,57326.96875,27036454524,739131,2267.04296875,-1785.51171875,58921.04017857143,60350.654181985294,59551.414453125,729.5861880079035,2405.689235600184
2024-09-03,57431.0234375,59815.05859375,57425.16796875,59106.19140625,26666961053,739132,2389.890625,1675.16796875,58624.88169642857,60230.18658088235,59528.54934895833,862.1639420190372,2422.990755654453
2024-09-04,57971.5390625,58511.5703125,55673.1640625,57430.34765625,35627680312,739133,2838.40625,-541.19140625,58474.01227678572,60200.04388786765,59661.21875,872.2846757949701,2208.857533188243
